# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.17.0
#@/tick	632
#@/user_id	9d0922bb-2196-4703-8ad7-5b1d1981f005
a 	啊	c=3 d=1.31215 t=632
pin yin 	拼音	c=3 d=1.87954 t=632
ping mu 	屏幕	c=2 d=1.81884 t=632
ping tai 	平台	c=2 d=1.56041 t=632
pu tong 	普通	c=2 d=1.87017 t=632
qi lai 	起来	c=1 d=0.980199 t=632
qi ta 	其他	c=1 d=0.852144 t=632
qi yong 	启用	c=1 d=0.895834 t=632
qian 	前	c=1 d=0.449329 t=632
qian zhe 	前者	c=1 d=0.980199 t=632
qiang zhe 	强者	c=1 d=0.985112 t=632
qie huan 	切换	c=1 d=0.364219 t=632
qing kuang 	情况	c=1 d=0.980199 t=632
qu 	去	c=1 d=0.818731 t=632
qu gong si 	去公司	c=1 d=0.683861 t=632
que ren 	确认	c=1 d=0.755784 t=632
ran hou 	然后	c=12 d=4.89293 t=632
rang ta 	让它	c=1 d=0.932394 t=632
ren gong 	人工	c=1 d=0.71177 t=632
ri qi 	日期	c=1 d=0.379083 t=632
ru 	如	c=2 d=1.48442 t=632
ru guo 	如果	c=1 d=0.398519 t=632
ru he 	如何	c=1 d=0.628135 t=632
ruan jian 	软件	c=2 d=1.58267 t=632
rui xing 	瑞幸	c=1 d=0.822835 t=632
shan diao 	删掉	c=1 d=0.822835 t=632
shang 	上	c=2 d=1.02703 t=632
shang ban 	上班	c=1 d=0.810584 t=632
shang jia 	商家	c=2 d=1.36688 t=632
she bei 	设备	c=2 d=1.35784 t=632
she bie 	射别	c=1 d=0.763379 t=632
she zhi 	设置	c=1 d=0.869358 t=632
shen me 	什么	c=1 d=0.895834 t=632
shi 	时	c=1 d=0.421052 t=632
shi 	是	c=8 d=3.28325 t=632
shi bu shi 	是不是	c=3 d=2.14069 t=632
shi de 	是的	c=1 d=0.494109 t=632
shi jie 	世界	c=1 d=0.995012 t=632
shi qing 	事情	c=1 d=0.970446 t=632
shou ji 	手机	c=1 d=0.631284 t=632
shu biao 	鼠标	c=1 d=0.980199 t=632
shu chu 	输出	c=1 d=0.433874 t=632
shu ru 	输入	c=3 d=1.33564 t=632
shu ru fa 	输入法	c=1 d=0.980199 t=632
shuo 	说	c=4 d=2.31128 t=632
shuo xia zai 	说下载	c=1 d=0.621885 t=632
sou gou 	搜狗	c=2 d=1.43491 t=632
suo duan 	缩短	c=1 d=1 t=632
suo zai 	所在	c=1 d=0.644036 t=632
tai 	太	c=1 d=0.869358 t=632
tao 	套	c=1 d=0.965605 t=632
ti jiao 	提交	c=7 d=3.86544 t=632
tiao 	调	c=1 d=0.909373 t=632
tong 	同	c=1 d=0.798516 t=632
tong guo 	通过	c=1 d=0.744532 t=632
tou chuan 	透穿	c=1 d=0.97531 t=632
tou ming 	透明	c=1 d=0.965605 t=632
tou ming du 	透明度	c=1 d=0.955997 t=632
tu ran 	突然	c=1 d=0.612626 t=632
tui chu 	退出	c=2 d=1.81058 t=632
tui kuan 	退款	c=2 d=1.3832 t=632
wai jie 	外界	c=1 d=0.932394 t=632
wan 	完	c=2 d=1.37205 t=632
wan quan 	完全	c=1 d=0.946485 t=632
wan shang 	晚上	c=2 d=1.13119 t=632
wang niao 	网鸟	c=1 d=0.771052 t=632
wei sha 	为啥	c=2 d=1.27827 t=632
wei zhi 	位置	c=2 d=1.52264 t=632
wen jian 	文件	c=1 d=0.99005 t=632
wen ti 	问题	c=2 d=1.27812 t=632
wo 	我	c=7 d=2.91837 t=632
wo de 	我的	c=1 d=0.806541 t=632
wo ken ding 	我肯定	c=1 d=0.985112 t=632
wo xiang 	我想	c=1 d=0.416862 t=632
wo you 	我又	c=1 d=0.612626 t=632
wu song 	雾凇	c=4 d=2.5639 t=632
wu yu 	无语	c=1 d=0.752014 t=632
xi tong 	系统	c=1 d=0.67368 t=632
xia 	下	c=13 d=5.24962 t=632
xia bian 	下边	c=2 d=1.83739 t=632
xia yi bu 	下一步	c=1 d=0.637628 t=632
xia zai 	下载	c=0 d=0.0618783 t=632
xian 	先	c=1 d=0.752014 t=632
xian qing yi zhi 	闲情逸致	c=1 d=1 t=632
xian shi 	显示	c=1 d=0.955997 t=632
xian su 	限速	c=1 d=0.687289 t=632
xian xiang 	现象	c=1 d=0.904837 t=632
xian yu 	闲鱼	c=1 d=0.537944 t=632
xian zai 	现在	c=4 d=2.03387 t=632
xiang 	像	c=4 d=2.19918 t=632
xiang dao 	想到	c=1 d=0.960789 t=632
xiang dui 	相对	c=1 d=0.873716 t=632
xiang le 	想了	c=1 d=0.810584 t=632
xiang mu 	项目	c=1 d=0.965605 t=632
xiang su 	像素	c=1 d=0.909373 t=632
xiao guo 	效果	c=1 d=0.923116 t=632
xin yong 	信用	c=1 d=0.582748 t=632
